,dwarf name,constellation,distance,mass,radius,discovery
61,2MASS 1503+2525,Boötes,20.7,0.042001872,0.0965972199999999,2003.0
62,2MASSW J1506544+132106 [de],Boötes,46.0,0.065866572,0.10481826,2000.0
63,2MASS 1507−1627,Libra,23.9,0.057275280000000005,0.1017353699999999,2000.0
64,2MASSW J1515008+484742 [de],Boötes,34.0,0.054411516,0.1017353699999999,2003.0
65,2MASSI J1526140+204341 [de],Serpens,67.0,0.051547752,0.1007077399999999,2000.0
66,DENIS-P J153941.96-052042.4 [de],Libra,51.0,0.060139044,0.102763,2004.0
67,2MASS J15462718-3325111 [de],Lupus,37.0,0.042001872,0.0965972199999999,2002.0
68,2MASSW J1552591+294849 [de],Corona Borealis,68.0,0.028637640000000002,0.1469510899999999,2003.0
69,2MASSW J1555157-095605 [de],Libra,44.0,0.067775748,0.10584589,2002.0
70,2MASS J16150413+1340079 [de],Hercules,48.0,0.040092696000000004,0.0965972199999999,2007.0
71,SDSSp J162414.37+002915.6 [de],Serpens,36.0,0.041047284,0.0965972199999999,1999.0
72,2MASS J16262034+3925190 [de],Hercules,110.0,0.067775748,0.10584589,2004.0
73,2MASSW J1632291+190441 [de],Hercules,50.0,0.046774812,0.0996801099999999,1999.0
74,LSPM J1658+7027 [de],Draco,60.0,0.069684924,0.10687352,2000.0
75,LSR J1835+3259,Lyra,18.5,0.073503276,0.10995641,2003.0
76,PSO J318.5−22,Capricornus,80.0,0.0062048220000000005,0.15722739,2013.0
77,2MASS J22282889-4310262,Grus,35.0,0.040092696000000004,0.0965972199999999,2013.0
78,WISE 0410+1502,Taurus,20.0,0.005727528,0.1202327099999999,2010.0
79,WISE 0458+6434A,Camelopardalis,35.9,0.014318820000000001,0.4316046,2010.0
80,WISE 0458+6434B,Camelopardalis,35.9,0.00954588,0.3904993999999999,2010.0
81,WISE 1405+5534,Ursa Major,25.3,0.028637640000000002,0.08837618,2010.0
